Weight_kg,BMI,Protein_Intake,Dietary_Habits,Recommended_Meal_Plan
76,19.19,147,Keto,Low-Carb Diet
64,22.41,141,Regular,High-Protein Diet
108,39.67,150,Vegan,Low-Carb Diet
52,13.13,129,Vegetarian,Low-Fat Diet
59,22.76,75,Regular,Low-Carb Diet
66,25.15,184,Regular,Low-Carb Diet
60,15.94,93,Regular,Balanced Diet
97,26.59,191,Regular,Low-Carb Diet
54,15.28,101,Regular,Balanced Diet
118,38.97,154,Regular,Balanced Diet
113,29.72,124,Vegan,Balanced Diet
63,19.23,133,Regular,Balanced Diet
99,33.08,101,Regular,High-Protein Diet
75,19.33,163,Regular,Low-Carb Diet
118,30.72,111,Regular,Balanced Diet
56,15.03,125,Vegan,Low-Fat Diet
65,26.04,152,Regular,Balanced Diet
104,29.11,80,Regular,Balanced Diet
105,26.51,61,Regular,Low-Carb Diet
53,17.92,84,Regular,Low-Fat Diet
97,24.49,106,Regular,Low-Fat Diet
66,25.15,76,Vegetarian,High-Protein Diet
85,25.95,192,Vegetarian,Low-Carb Diet
119,30.05,120,Vegan,Low-Fat Diet
87,32.35,159,Keto,Balanced Diet
111,32.43,131,Keto,Low-Carb Diet
97,24.74,125,Regular,Low-Fat Diet
59,24.88,124,Vegetarian,Low-Carb Diet
85,29.07,52,Regular,Low-Carb Diet
78,28.65,150,Keto,High-Protein Diet
53,14.68,52,Regular,Balanced Diet
93,36.79,78,Regular,High-Protein Diet
105,35.08,103,Vegetarian,Low-Fat Diet
91,32.63,114,Vegetarian,Low-Fat Diet
62,15.81,198,Regular,High-Protein Diet
95,34.06,90,Vegetarian,Low-Carb Diet
82,33.69,69,Regular,Low-Fat Diet
70,29.9,109,Vegetarian,Balanced Diet
106,34.61,52,Keto,Balanced Diet
118,49.76,173,Keto,Balanced Diet
119,43.71,167,Regular,Low-Fat Diet
116,34.26,63,Keto,Low-Fat Diet
97,31.67,94,Vegetarian,Balanced Diet
82,29.4,158,Regular,High-Protein Diet
85,26.83,144,Vegan,Low-Fat Diet
82,27.72,186,Vegetarian,Balanced Diet
80,30.11,119,Regular,Balanced Diet
70,26.03,142,Regular,Low-Fat Diet
76,19.39,101,Vegan,High-Protein Diet
111,33.51,112,Keto,Balanced Diet
75,24.77,71,Keto,Low-Fat Diet
115,39.79,104,Vegetarian,Balanced Diet
61,22.14,162,Regular,Low-Carb Diet
71,24.0,159,Regular,Balanced Diet
66,17.9,52,Vegetarian,Low-Carb Diet
56,20.32,51,Vegetarian,High-Protein Diet
117,44.04,77,Vegetarian,Low-Carb Diet
86,27.14,58,Regular,High-Protein Diet
87,30.46,81,Keto,Balanced Diet
60,18.73,124,Regular,Low-Carb Diet
50,17.72,151,Keto,Low-Carb Diet
74,20.94,84,Vegetarian,Low-Carb Diet
91,34.67,96,Keto,High-Protein Diet
101,36.21,195,Keto,Low-Fat Diet
73,24.68,85,Vegetarian,Low-Carb Diet
102,26.82,196,Vegetarian,Balanced Diet
105,31.7,172,Keto,Balanced Diet
112,31.69,109,Regular,Low-Fat Diet
57,15.96,170,Vegan,Low-Fat Diet
108,38.72,144,Regular,Low-Carb Diet
94,37.65,72,Keto,Balanced Diet
76,22.94,171,Vegetarian,High-Protein Diet
101,30.83,164,Keto,Low-Carb Diet
67,24.31,126,Regular,Low-Carb Diet
65,23.03,85,Keto,Balanced Diet
115,37.13,146,Keto,High-Protein Diet
54,22.48,162,Vegetarian,Low-Carb Diet
52,15.36,186,Keto,Low-Carb Diet
119,34.4,163,Vegetarian,Balanced Diet
56,16.72,70,Keto,Low-Fat Diet
99,34.66,115,Vegetarian,High-Protein Diet
63,20.81,93,Regular,Low-Fat Diet
87,37.17,170,Regular,High-Protein Diet
96,37.97,129,Vegan,Balanced Diet
82,32.44,192,Vegetarian,Low-Fat Diet
92,30.74,65,Keto,Low-Fat Diet
78,26.99,95,Regular,Balanced Diet
106,41.41,152,Regular,High-Protein Diet
54,17.43,114,Keto,High-Protein Diet
109,40.04,68,Keto,Low-Fat Diet
119,38.86,139,Regular,High-Protein Diet
51,15.92,86,Keto,Low-Carb Diet
119,30.35,102,Keto,Balanced Diet
92,33.79,96,Keto,Low-Fat Diet
53,21.78,180,Keto,High-Protein Diet
105,38.57,137,Regular,Low-Fat Diet
108,31.9,135,Vegan,Low-Fat Diet
58,21.3,111,Keto,High-Protein Diet
52,14.56,178,Vegan,High-Protein Diet
97,37.42,88,Regular,Balanced Diet
92,27.17,122,Regular,Low-Carb Diet
50,12.75,72,Keto,Low-Fat Diet
106,36.68,98,Regular,Low-Fat Diet
102,25.76,174,Regular,Low-Carb Diet
65,17.63,98,Regular,Balanced Diet
100,29.22,187,Keto,Low-Carb Diet
104,26.8,145,Vegan,High-Protein Diet
50,18.14,115,Regular,High-Protein Diet
77,23.5,120,Regular,Low-Fat Diet
102,28.25,116,Regular,High-Protein Diet
107,44.54,88,Regular,Low-Carb Diet
109,36.42,149,Keto,Low-Carb Diet
108,34.87,50,Regular,Low-Fat Diet
71,24.86,173,Regular,Balanced Diet
57,18.83,80,Regular,Balanced Diet
98,42.98,146,Vegan,Low-Fat Diet
91,36.45,159,Regular,High-Protein Diet
76,24.26,181,Vegan,Low-Fat Diet
88,25.17,102,Regular,Balanced Diet
74,32.03,152,Keto,Balanced Diet
87,30.46,142,Vegetarian,Low-Fat Diet
73,30.39,127,Vegetarian,Low-Carb Diet
73,20.65,54,Vegan,Low-Fat Diet
109,32.91,101,Regular,High-Protein Diet
99,44.0,194,Regular,Low-Fat Diet
115,33.24,81,Regular,Balanced Diet
63,26.22,183,Vegan,Balanced Diet
102,27.1,142,Vegetarian,Low-Carb Diet
81,24.19,174,Regular,Low-Fat Diet
97,25.25,141,Vegetarian,High-Protein Diet
88,32.72,187,Regular,Low-Carb Diet
89,23.65,162,Regular,Low-Carb Diet
91,29.71,110,Regular,Low-Fat Diet
57,21.45,196,Regular,High-Protein Diet
75,30.82,181,Regular,Balanced Diet
61,16.04,133,Keto,Low-Carb Diet
92,28.4,95,Regular,High-Protein Diet
100,33.41,111,Regular,Low-Carb Diet
112,34.57,141,Vegetarian,Balanced Diet
98,30.93,103,Regular,Balanced Diet
76,20.83,173,Keto,Low-Carb Diet
58,17.7,149,Regular,Low-Fat Diet
88,31.93,116,Vegetarian,Balanced Diet
114,42.91,73,Vegan,Low-Carb Diet
56,15.68,115,Regular,Low-Carb Diet
116,33.89,67,Regular,Low-Fat Diet
59,15.2,145,Vegetarian,High-Protein Diet
102,34.08,97,Keto,High-Protein Diet
106,28.16,97,Regular,Low-Carb Diet
76,24.54,111,Regular,Low-Carb Diet
103,34.02,111,Keto,Low-Carb Diet
53,16.18,151,Regular,Low-Carb Diet
72,25.82,174,Regular,Low-Carb Diet
97,25.51,151,Regular,Low-Fat Diet
91,32.63,127,Regular,Low-Fat Diet
52,15.03,114,Vegetarian,High-Protein Diet
52,16.98,101,Regular,Low-Carb Diet
77,30.84,50,Regular,High-Protein Diet
112,33.08,89,Regular,Balanced Diet
80,32.46,121,Regular,Low-Carb Diet
59,20.66,194,Regular,High-Protein Diet
98,26.86,50,Vegan,Low-Fat Diet
70,23.94,127,Keto,High-Protein Diet
102,36.14,116,Regular,Balanced Diet
103,32.15,71,Keto,Balanced Diet
106,33.83,84,Keto,Balanced Diet
69,20.38,105,Vegetarian,Low-Fat Diet
98,26.58,175,Regular,Low-Carb Diet
56,21.87,191,Vegetarian,Low-Carb Diet
78,24.07,94,Keto,Low-Fat Diet
97,24.74,135,Regular,Low-Carb Diet
62,15.98,82,Regular,Balanced Diet
52,14.71,189,Regular,High-Protein Diet
51,14.9,186,Regular,Low-Fat Diet
65,20.29,179,Regular,High-Protein Diet
55,18.59,108,Keto,Balanced Diet
94,33.3,144,Vegetarian,Low-Fat Diet
54,20.83,78,Vegan,Low-Fat Diet
105,39.04,104,Regular,Low-Fat Diet
81,25.0,143,Regular,Low-Carb Diet
98,26.58,199,Regular,High-Protein Diet
62,17.92,168,Regular,High-Protein Diet
79,22.84,154,Vegetarian,High-Protein Diet
74,27.51,189,Keto,High-Protein Diet
109,34.4,185,Regular,Low-Carb Diet
108,27.27,65,Regular,Low-Carb Diet
77,20.89,113,Regular,Low-Carb Diet
107,34.94,59,Keto,High-Protein Diet
69,18.52,125,Regular,Low-Carb Diet
83,36.4,170,Keto,High-Protein Diet
54,18.91,134,Keto,Low-Carb Diet
109,40.53,105,Vegetarian,High-Protein Diet
92,39.3,122,Vegan,Balanced Diet
106,36.25,62,Vegetarian,Low-Carb Diet
106,26.77,113,Keto,Balanced Diet
103,29.45,164,Keto,Low-Fat Diet
94,31.77,101,Vegetarian,Low-Carb Diet
86,28.08,163,Keto,Balanced Diet
97,37.89,103,Keto,Balanced Diet
103,32.88,106,Regular,Balanced Diet
97,42.54,67,Vegetarian,Low-Fat Diet
55,22.31,74,Regular,Low-Carb Diet
83,26.2,69,Vegetarian,Low-Fat Diet
112,43.75,60,Keto,High-Protein Diet
97,28.04,139,Regular,High-Protein Diet
72,25.82,136,Regular,High-Protein Diet
62,15.66,105,Regular,Low-Fat Diet
96,36.13,82,Vegan,Low-Carb Diet
93,36.79,147,Regular,High-Protein Diet
81,23.92,75,Regular,Low-Fat Diet
75,30.04,152,Vegetarian,Low-Carb Diet
102,30.13,118,Regular,High-Protein Diet
63,24.61,78,Keto,Balanced Diet
101,27.11,158,Regular,Low-Fat Diet
85,32.79,109,Regular,Balanced Diet
57,24.67,156,Regular,Low-Fat Diet
89,25.18,170,Vegetarian,Balanced Diet
71,26.72,61,Keto,Low-Fat Diet
65,20.75,142,Vegetarian,Low-Fat Diet
109,42.58,88,Regular,Low-Carb Diet
109,30.84,196,Vegetarian,Balanced Diet
59,19.49,196,Keto,Low-Fat Diet
74,25.61,78,Regular,Balanced Diet
80,31.64,139,Keto,High-Protein Diet
70,18.99,150,Regular,Low-Carb Diet
82,30.49,161,Vegan,Low-Fat Diet
80,28.34,125,Vegetarian,High-Protein Diet
70,18.04,69,Vegan,Balanced Diet
85,29.07,146,Keto,Balanced Diet
114,39.45,58,Keto,High-Protein Diet
53,14.23,51,Vegan,Low-Fat Diet
117,35.71,83,Vegetarian,Low-Carb Diet
53,13.38,70,Vegetarian,Low-Carb Diet
58,19.61,132,Regular,High-Protein Diet
79,30.1,130,Vegetarian,High-Protein Diet
94,39.64,182,Vegetarian,Low-Carb Diet
53,22.64,134,Regular,Balanced Diet
118,37.66,71,Vegetarian,Balanced Diet
72,27.1,133,Vegetarian,Low-Carb Diet
65,26.37,94,Regular,High-Protein Diet
71,28.44,132,Keto,Balanced Diet
97,28.65,82,Regular,Low-Fat Diet
111,32.08,84,Regular,Low-Carb Diet
109,37.72,95,Regular,Low-Fat Diet
54,19.36,176,Vegetarian,Balanced Diet
56,16.91,155,Regular,Low-Fat Diet
100,40.57,157,Vegetarian,Low-Fat Diet
114,29.08,132,Regular,High-Protein Diet
58,21.05,149,Regular,Balanced Diet
94,25.5,156,Regular,Low-Fat Diet
96,29.63,75,Keto,Low-Fat Diet
116,34.64,184,Regular,Low-Carb Diet
73,30.39,136,Keto,High-Protein Diet
59,20.18,182,Vegetarian,Low-Carb Diet
97,36.51,166,Regular,Low-Carb Diet
84,36.36,128,Regular,Balanced Diet
103,39.74,130,Vegetarian,Low-Fat Diet
65,18.99,133,Regular,Low-Fat Diet
102,39.35,161,Regular,Low-Carb Diet
89,23.65,172,Regular,Low-Carb Diet
69,30.26,174,Regular,Low-Fat Diet
118,51.75,171,Regular,Low-Fat Diet
94,34.95,129,Vegan,Low-Fat Diet
55,18.59,177,Keto,Low-Fat Diet
118,37.24,127,Keto,Low-Fat Diet
98,35.56,123,Vegetarian,Balanced Diet
88,26.86,90,Regular,Balanced Diet
51,20.96,135,Regular,Balanced Diet
88,27.46,115,Keto,Low-Fat Diet
70,22.34,56,Regular,Low-Fat Diet
89,33.5,172,Vegan,High-Protein Diet
103,27.65,176,Keto,Balanced Diet
61,19.04,79,Vegetarian,Balanced Diet
86,31.21,196,Vegetarian,High-Protein Diet
87,26.56,87,Vegetarian,High-Protein Diet
64,16.83,194,Regular,Balanced Diet
56,23.31,150,Vegan,Balanced Diet
99,33.08,128,Regular,Balanced Diet
114,47.45,151,Regular,Low-Carb Diet
116,37.45,148,Vegetarian,Balanced Diet
93,33.35,53,Regular,Balanced Diet
80,26.73,178,Keto,Balanced Diet
92,26.59,134,Vegan,High-Protein Diet
97,32.41,159,Regular,Low-Carb Diet
110,31.46,199,Regular,Balanced Diet
59,17.62,182,Regular,Balanced Diet
78,21.84,85,Keto,Balanced Diet
97,25.25,151,Regular,High-Protein Diet
111,41.27,186,Regular,Balanced Diet
62,24.22,159,Regular,Balanced Diet
93,31.8,106,Keto,Low-Fat Diet
96,32.08,155,Vegetarian,Low-Fat Diet
113,50.22,158,Vegetarian,High-Protein Diet
102,36.57,133,Regular,High-Protein Diet
93,24.97,139,Keto,High-Protein Diet
77,29.71,181,Vegetarian,High-Protein Diet
51,13.83,100,Regular,High-Protein Diet
106,33.83,133,Regular,Low-Fat Diet
106,29.67,155,Regular,Low-Fat Diet
83,34.11,120,Vegan,High-Protein Diet
107,36.17,104,Keto,High-Protein Diet
101,34.95,157,Regular,Low-Fat Diet
78,23.29,80,Regular,Low-Fat Diet
84,32.81,99,Keto,Low-Fat Diet
97,33.17,185,Vegetarian,Low-Fat Diet
82,22.48,136,Regular,High-Protein Diet
58,17.13,161,Regular,Low-Fat Diet
97,30.61,192,Regular,High-Protein Diet
116,31.8,114,Regular,Balanced Diet
85,27.13,59,Vegetarian,Low-Fat Diet
93,33.35,137,Regular,Low-Carb Diet
109,41.03,128,Regular,Balanced Diet
112,40.16,162,Keto,Low-Fat Diet
54,17.24,198,Vegan,High-Protein Diet
89,29.74,73,Keto,Low-Fat Diet
68,27.59,118,Keto,Balanced Diet
96,26.32,82,Regular,High-Protein Diet
114,30.29,85,Keto,Low-Fat Diet
116,47.06,139,Keto,Low-Fat Diet
67,28.62,115,Regular,Low-Fat Diet
99,31.96,80,Regular,Low-Fat Diet
79,23.08,153,Regular,Low-Carb Diet
115,48.49,132,Keto,Low-Carb Diet
54,16.3,170,Vegetarian,Low-Fat Diet
91,23.21,169,Regular,High-Protein Diet
54,16.12,116,Regular,High-Protein Diet
99,30.9,136,Regular,Balanced Diet
107,43.41,178,Vegetarian,Balanced Diet
57,16.13,120,Keto,High-Protein Diet
80,20.82,135,Vegan,Low-Carb Diet
61,19.92,132,Regular,Balanced Diet
70,20.23,143,Regular,Balanced Diet
111,33.15,186,Regular,Low-Carb Diet
82,33.69,148,Regular,Low-Carb Diet
75,21.0,190,Regular,Balanced Diet
89,28.41,141,Keto,High-Protein Diet
114,32.25,105,Vegan,Low-Carb Diet
108,30.56,88,Regular,Balanced Diet
64,20.43,180,Regular,High-Protein Diet
50,18.82,102,Keto,High-Protein Diet
60,15.15,111,Vegetarian,High-Protein Diet
104,29.74,154,Vegetarian,Low-Fat Diet
51,21.79,118,Regular,Balanced Diet
114,31.25,181,Vegetarian,Low-Fat Diet
93,33.35,108,Regular,Low-Fat Diet
65,17.45,194,Regular,Balanced Diet
71,18.29,199,Regular,Low-Fat Diet
67,22.13,80,Vegan,Low-Carb Diet
96,39.45,98,Vegetarian,Low-Carb Diet
79,22.59,162,Vegetarian,High-Protein Diet
59,18.83,159,Regular,High-Protein Diet
107,45.12,87,Regular,Balanced Diet
111,48.04,98,Regular,Balanced Diet
55,14.77,149,Keto,Low-Carb Diet
116,35.8,72,Regular,Low-Carb Diet
90,23.43,133,Regular,Balanced Diet
92,25.22,76,Keto,High-Protein Diet
67,23.46,130,Regular,Low-Fat Diet
107,37.91,191,Regular,High-Protein Diet
109,28.09,180,Regular,Low-Carb Diet
76,29.69,153,Regular,Low-Carb Diet
117,32.75,76,Regular,High-Protein Diet
71,30.73,63,Vegan,Balanced Diet
73,24.68,74,Vegan,High-Protein Diet
89,36.57,101,Regular,High-Protein Diet
115,38.87,189,Keto,High-Protein Diet
89,36.57,72,Regular,Low-Carb Diet
55,14.46,196,Vegan,High-Protein Diet
67,20.01,169,Keto,High-Protein Diet
79,21.66,50,Vegetarian,High-Protein Diet
70,24.8,175,Regular,High-Protein Diet
111,44.46,182,Vegetarian,Balanced Diet
59,15.2,199,Regular,Low-Fat Diet
62,22.23,51,Regular,Balanced Diet
58,16.07,184,Vegetarian,Low-Fat Diet
117,30.15,161,Vegetarian,Low-Carb Diet
88,23.38,70,Keto,Low-Fat Diet
73,20.01,120,Vegan,High-Protein Diet
83,27.41,108,Regular,Balanced Diet
110,41.4,58,Regular,Low-Carb Diet
90,24.16,169,Vegetarian,High-Protein Diet
54,17.84,122,Regular,High-Protein Diet
99,35.08,164,Regular,High-Protein Diet
53,15.0,189,Keto,High-Protein Diet
100,37.18,149,Regular,Low-Fat Diet
101,37.1,122,Regular,Balanced Diet
88,28.41,187,Vegetarian,Balanced Diet
57,15.96,162,Regular,High-Protein Diet
94,37.18,123,Keto,High-Protein Diet
77,32.89,66,Vegetarian,Low-Carb Diet
76,26.93,53,Regular,Balanced Diet
114,36.39,113,Regular,Low-Fat Diet
83,28.72,193,Vegetarian,High-Protein Diet
111,28.89,98,Keto,Low-Carb Diet
111,41.78,149,Regular,Low-Carb Diet
87,26.26,55,Keto,High-Protein Diet
75,19.33,153,Vegan,Balanced Diet
73,28.88,58,Keto,Low-Fat Diet
88,31.18,107,Vegetarian,Low-Fat Diet
70,21.85,81,Vegan,Low-Carb Diet
96,32.83,79,Regular,Low-Carb Diet
97,41.98,94,Vegan,Low-Carb Diet
62,17.92,163,Regular,Low-Carb Diet
52,14.4,199,Vegan,Low-Carb Diet
81,29.04,80,Vegan,Low-Fat Diet
84,32.81,177,Vegan,Low-Fat Diet
68,17.52,66,Keto,High-Protein Diet
63,27.63,162,Vegetarian,Low-Carb Diet
97,37.42,174,Vegetarian,Balanced Diet
117,48.7,103,Regular,Balanced Diet
94,25.5,128,Vegetarian,Low-Fat Diet
68,19.04,96,Keto,Low-Carb Diet
113,30.34,188,Keto,Low-Carb Diet
115,36.3,194,Regular,Low-Carb Diet
115,35.89,125,Regular,High-Protein Diet
94,41.23,164,Regular,Low-Carb Diet
116,46.47,164,Keto,Low-Fat Diet
118,30.72,75,Regular,High-Protein Diet
52,22.81,117,Keto,Low-Fat Diet
87,27.46,196,Regular,Low-Fat Diet
91,27.47,62,Regular,Low-Fat Diet
89,35.2,78,Regular,Low-Fat Diet
99,29.56,103,Vegetarian,Low-Fat Diet
84,22.55,122,Vegetarian,Low-Carb Diet
73,29.62,70,Vegetarian,High-Protein Diet
66,19.08,58,Regular,Low-Fat Diet
89,26.87,97,Keto,High-Protein Diet
115,29.94,134,Regular,Low-Carb Diet
93,38.71,182,Regular,Low-Carb Diet
72,19.33,121,Regular,Low-Carb Diet
55,15.4,64,Keto,Low-Carb Diet
115,30.56,126,Keto,Low-Fat Diet
70,24.8,146,Vegan,High-Protein Diet
84,25.64,172,Vegan,Low-Carb Diet
78,25.18,81,Regular,Balanced Diet
56,24.89,85,Regular,Balanced Diet
102,27.67,195,Vegetarian,Low-Fat Diet
86,25.96,189,Vegetarian,Low-Carb Diet
72,20.16,136,Keto,High-Protein Diet
57,17.4,175,Keto,Balanced Diet
97,40.9,179,Keto,Low-Fat Diet
59,21.41,135,Regular,High-Protein Diet
73,29.62,118,Regular,Low-Fat Diet
96,26.32,194,Vegetarian,Low-Fat Diet
102,30.46,92,Keto,Low-Carb Diet
88,35.25,195,Regular,Low-Fat Diet
116,39.21,80,Keto,Low-Fat Diet
115,33.97,112,Vegan,Low-Carb Diet
55,13.89,77,Regular,Low-Carb Diet
70,28.76,186,Regular,Balanced Diet
85,31.6,146,Regular,Low-Fat Diet
52,18.21,77,Regular,Low-Carb Diet
91,22.98,195,Regular,High-Protein Diet
94,31.05,192,Regular,High-Protein Diet
